"State","Density","Pop","Area"
"District of Columbia",11665.098360655738,711571,61
"New Jersey",1213.2916779983682,8922547,7354
"Rhode Island",1021.990328820116,1056738,1034
"Puerto Rico",900.1616074009829,3113659,3459
"Massachusetts",889.6632051282052,6939373,7800
"Connecticut",736.8589425857084,3567871,4842
"Maryland",624.5922530132893,6062917,9707
"Delaware",500.27347357619294,975033,1949
"New York",413.60053898060517,19491339,47126
"Florida",403.6579020979021,21646155,53625
"Ohio",286.79102322508015,11718568,40861
"Pennsylvania",286.3904744876294,12813969,44743
"California",255.15163789727757,39747267,155779
"Illinois",228.75738035627444,12700381,55519
"Hawaii",220.5494317297213,1416589,6423
"Virginia",217.06624461889086,8571946,39490
"North Carolina",215.92292977909418,10497741,48618
"Indiana",187.5346396471836,6718616,35826
"Georgia",184.78895206301183,10627767,57513
"Michigan",177.2311501795221,10020472,56539
"South Carolina",171.22221482984597,5147111,30061
"Tennessee",165.72797380865768,6833793,41235
"New Hampshire",152.3346364347146,1363852,8953
"Washington",115.35968159383653,7666343,66456
"Kentucky",113.56042648027149,4484047,39486
"Texas",111.3457386537637,29087070,261232
"Wisconsin",107.69712692492337,5832661,54158
"Louisiana",107.68866308675123,4652581,43204
"Alabama",96.71726725244348,4898246,50645
"Missouri",89.43383957405953,6147861,68742
"West Virginia",74.54659289458358,1791951,24038
"Minnesota",71.03024099865624,5655925,79627
"Vermont",68.0460019529131,627180,9217
"Arizona",64.04449178653802,7275070,113594
"Mississippi",63.67655520746755,2987895,46923
"Arkansas",58.16108388584607,3026412,52035
"Oklahoma",57.56906480064145,3948950,68595
"Iowa",56.71620387775928,3167997,55857
"Colorado",55.67766928465294,5770545,103642
"Oregon",44.23366462474476,4245901,95988
"Maine",43.513828097137115,1342097,30843
"Utah",39.20664476086163,3221610,82170
"Kansas",35.60379897014396,2910931,81759
"Nevada",28.11984769677813,3087025,109781
"Nebraska",25.264487660106216,1940919,76824
"Idaho",21.66162893409,1790182,82643
"New Mexico",17.2800375933651,2096034,121298
"South Dakota",11.774425874873039,892631,75811
"North Dakota",11.027376414834567,760900,69001
"Montana",7.382765586137716,1074532,145546
"Wyoming",5.8951829689061,572381,97093
"Alaska",1.2892869597522785,735720,570641